Constituency,Name,Party,FirstCount,Elected
CARLOW-KILKENNY,John McGuinness,Fianna Fail,10528,Yes
CARLOW-KILKENNY,Bobby Aylward,Fianna Fail,9366,Yes
CARLOW-KILKENNY,Kathleen Funchion,Sinn Fein,8700,Yes
CARLOW-KILKENNY,Jennifer Murnane OConnor,Fianna Fail,8373,Yes
CARLOW-KILKENNY,John Paul Phelan,Fine Gael,7568,Yes
CARLOW-KILKENNY,Pat Deering,Fine Gael,6562,No
CARLOW-KILKENNY,David Fitzgerald,Fine Gael,5017,No
CARLOW-KILKENNY,Ann Phelan,Labour,4391,No
CARLOW-KILKENNY,Malcolm Noonan,Green Party,2621,No
CARLOW-KILKENNY,Patrick McKee,Renua,2483,No
CARLOW-KILKENNY,Adrienne Wallace,Anti-Austerity Alliance-People Before Profit,1582,No
CARLOW-KILKENNY,Conor MacLiam,Anti-Austerity Alliance-People Before Profit,1120,No
CARLOW-KILKENNY,Paddy Manning,Independent,1078,No
CARLOW-KILKENNY,Keith Gilligan,Independent,456,No
CARLOW-KILKENNY,Noel G Walsh,Independent,164,No
CAVAN-MONAGHAN,Heather Humphreys,Fine Gael,12391,Yes
CAVAN-MONAGHAN,Caoimhghín Ó Caoláin,Sinn Fein,10060,Yes
CAVAN-MONAGHAN,Brendan Smith,Fianna Fail,8775,Yes
CAVAN-MONAGHAN,Joe OReilly,Fine Gael,6566,Yes
CAVAN-MONAGHAN,Niamh Smyth,Fianna Fail,6268,No
CAVAN-MONAGHAN,Kathryn Reilly,Sinn Fein,6066,No
CAVAN-MONAGHAN,Mike Durkin,Fianna Fail,2909,No
CAVAN-MONAGHAN,Seán Conlan,Independent,1665,No
CAVAN-MONAGHAN,Mary Smyth,Independent,1589,No
CAVAN-MONAGHAN,Michael Callaghan,Green Party,1251,No
CAVAN-MONAGHAN,John Wilson,Independent,1023,No
CAVAN-MONAGHAN,Mick McDermott,Direct Democracy Ireland,475,No
CAVAN-MONAGHAN,Aoife OConnell,Direct Democracy Ireland,279,No
